Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num
swift	large	4	C	SE51	C4	30	Amphibian	SS	13	10	2020	19	37	1	Unknown	Unknown	SYER0505
swift	large	4	C	SE51	C4	30	Amphibian	SS	13	10	2020	19	53	54	Unknown	Unknown	SYER0508
swift	large	4	C	SE51	C4	31	Amphibian	SS	13	10	2020	19	37	1	Unknown	Unknown	SYER0505
swift	large	4	C	SE51	C4	32	Fox	FR	14	10	2020	23	22	35	Adult	Unknown	SYER1077
swift	large	4	C	SE51	C4	33	Fox	FR	15	10	2020	21	42	34	Adult	Unknown	SYER1957
swift	large	4	C	SE51	C4	34	Fox	FR	17	10	2020	0	19	17	Adult	Unknown	SYER3283
swift	large	4	C	SE51	C4	34	Fox	FR	17	10	2020	0	20	35	Adult	Unknown	SYER3286
swift	large	4	R	SE57	R1	35	Kangaroo	SS	22	10	2020	11	7	7	Adult	Unknown	SYER6440
swift	large	4	C	SE51	C4	35	Kangaroo	RX	22	10	2020	11	7	17	Adult	Unknown	SYER7762
swift	large	4	R	SE57	R1	35	Kangaroo	SS	22	10	2020	11	8	51	Adult	Unknown	SYER6443
swift	large	4	R	SE57	R1	35	Kangaroo	RX	22	10	2020	11	9	11	Adult	Unknown	SYER6446
swift	large	4	C	SE48	C3	36	Kangaroo	RX	22	10	2020	11	7	24	Adult	Unknown	SYER2853
swift	large	4	C	SE48	C3	37	Kangaroo	FR	22	10	2020	11	7	36	Adult	Unknown	SYER2856
swift	large	4	C	SE51	C4	38	Kangaroo	FR	22	10	2020	11	7	49	Adult	Unknown	SYER7766
swift	large	4	C	SE51	C4	39	Kangaroo	FR	22	10	2020	11	8	2	Adult	Unknown	SYER7768
swift	large	4	C	SE51	C4	39	Kangaroo	FR	22	10	2020	11	8	13	Adult	Unknown	SYER7771
swift	large	4	C	SE51	C4	39	Kangaroo	FR	22	10	2020	11	8	31	Adult	Unknown	SYER7774
swift	large	4	C	SE51	C4	39	Kangaroo	SS	22	10	2020	11	8	46	Adult	Unknown	SYER7777
swift	large	4	C	SE51	C4	39	Kangaroo	SS	22	10	2020	11	8	57	Adult	Unknown	SYER7780
swift	large	4	C	SE51	C4	39	Kangaroo	SS	22	10	2020	11	9	27	Adult	Unknown	SYER7783
swift	large	4	C	SE51	C4	40	Kangaroo	FR	22	10	2020	11	9	27	Adult	Unknown	SYER7783
swift	large	4	C	SE51	C4	40	Kangaroo	FR	22	10	2020	11	9	40	Adult	Unknown	SYER7789
swift	large	4	R	SE51	R1	40	Kangaroo	FR	22	10	2020	11	9	40	Adult	Unknown	SYER6449
swift	large	4	R	SE51	R1	40	Kangaroo	FR	22	10	2020	11	10	10	Adult	Unknown	SYER6452
swift	large	4	R	SE54	R2	40	Kangaroo	FR	22	10	2020	11	11	32	Adult	Unknown	SYER6455
swift	large	4	C	SE51	C4	41	Kangaroo	SS	22	10	2020	11	9	27	Adult	Unknown	SYER7783
swift	large	4	C	SE51	C4	41	Kangaroo	FR	22	10	2020	11	10	19	Adult	Unknown	SYER7792
swift	large	4	C	SE51	C4	41	Kangaroo	FR	22	10	2020	11	10	20	Adult	Unknown	SYER7793
swift	large	4	C	SE51	C4	41	Kangaroo	FR	22	10	2020	11	10	31	Adult	Unknown	SYER7796
swift	large	4	C	SE51	C4	41	Kangaroo	FR	22	10	2020	11	11	5	Adult	Unknown	SYER7798
swift	large	4	C	SE51	C4	41	Kangaroo	FR	22	10	2020	11	11	21	Adult	Unknown	SYER7801
swift	large	4	C	SE51	C4	42	Kangaroo	FR	22	10	2020	11	10	19	Juvenile	Unknown	SYER7792
swift	large	4	C	SE51	C4	42	Kangaroo	FR	22	10	2020	11	10	20	Juvenile	Unknown	SYER7793
